Date,ZGC,GDS,HTKJ
2026-08-17,41.03,444.0,19.0
2026-08-18,39.25,436.74,18.7
2026-08-19,35.33,403.71,17.36
2026-08-20,35.66,403.5,17.35
2026-08-21,36.44,409.06,17.42
2026-08-24,34.49,381.66,16.88
2026-08-25,35.1,395.51,16.84
2026-08-26,34.9,392.5,16.66
2026-08-27,36.43,411.2,17.18
2026-08-28,35.89,396.82,16.92
2026-08-31,38.95,406.0,17.05
