Expected Annual Return,Annualized Volatility,Sharpe Ratio,ZGC,GDS,HTKJ
0.4217195799004839,0.4360703800305945,0.9670906331012353,0.18205877561639985,0.46212908544657766,0.3558121389370225
0.4464168586426095,0.4645350698285002,0.9609971079415389,0.03807825678154029,0.5678448096745716,0.3940769335438881
0.3121584991859201,0.41072184337460294,0.7600240995734255,0.4168646920444965,0.012118741982948326,0.5710165659725551
0.3813738780471462,0.41977473110635655,0.9085203319456575,0.181157578987603,0.3005149012112803,0.5183275198011167
0.36248447839880404,0.40904188064734204,0.8861793756305415,0.3235477644362823,0.21814474801907058,0.4583074875446472
0.3976669310841905,0.42538585617899627,0.9348381600089166,0.17480425944469938,0.3660958890894621,0.45909985146583854
0.44395582996757127,0.44789060538612113,0.9912148739642401,0.316513109944968,0.544913048424312,0.13857384163072
0.43769697708926864,0.44992794096436656,0.9728157272276038,0.44595845726429273,0.513758448394915,0.0402830943407923
0.39684058610646766,0.41971541582821437,0.9454991909777525,0.3484815228069804,0.3546317318009484,0.2968867453920712
0.3379324063422799,0.40800353313975285,0.8282585293851571,0.41627195464631916,0.11541703223991515,0.4683110131137658
0.3615061155801698,0.4117194552115218,0.8780399152972871,0.4433659049657008,0.20859987143371847,0.3480342236005808
0.33513530737744146,0.40770992409260964,0.8219944808145432,0.321377000369313,0.10866444745297019,0.5699585521777167
0.3975867241513959,0.41983827409721575,0.9469997107965735,0.2970473148249617,0.36003589250989804,0.3429167926651403
0.4516654035119114,0.4559941197520175,0.9905070788139546,0.3717666808030997,0.5732097953138223,0.055023523883078046
0.32822671764193856,0.40784996995243844,0.8047731808836833,0.3459291411888761,0.0798306393630632,0.5742402194480607
0.3527976836281027,0.40994058402987116,0.8606068717567993,0.2610738397162976,0.18226465890278054,0.5566615013809217
0.36719084569922916,0.4102248371381572,0.8950965725548332,0.30223499387627506,0.23800265747185712,0.4597623486518678
0.4085975927066777,0.4358230575758057,0.9375309213317782,0.5040673460740428,0.3944356308127906,0.10149702311316666
0.43749993688758837,0.46377620401721464,0.9433427870985572,0.0036143273568734167,0.5337345230766596,0.462651149566467
0.43194441226760816,0.44714628489258224,0.9660024624187004,0.4630609817809713,0.48990629943279823,0.04703271878623043
0.3663405678066173,0.4132901454147174,0.8864004425728844,0.22769712823767616,0.23809491217310144,0.5342079595892223
0.4188713670321868,0.4308225328160975,0.972259654791519,0.3192599979209789,0.44427608659074336,0.2364639154882777
0.4168300573680839,0.44352150795406936,0.9398192644385813,0.0750454560179941,0.4475615017232569,0.47739304225874896
0.4132242207760195,0.4274966051112662,0.9666140405219547,0.30737399268116156,0.422207175625422,0.2704188316934164
0.41988947179804137,0.4466844803335693,0.9400135672600081,0.5357554507944484,0.4381921665310512,0.026052382674500215
0.3797257384351357,0.41933085164048917,0.9055516353008324,0.18165687727373855,0.2938877234452725,0.5244553992809889
0.37868516729238044,0.4195634384968413,0.9025695104632703,0.17615008340518912,0.28997689325334397,0.5338730233414669
0.3410121816513374,0.4072627318942247,0.8373272458917403,0.3841928143681414,0.12926296040609048,0.4865442252257682
