,CAGR,Annualized Volatility,Sharpe Ratio,Maximum Drawdown
Current 40/30/30,0.3269367088109023,0.4159656934952772,0.9226947896499469,-0.5334418486762114
Equal Weight,0.33585300664995765,0.4171896578964619,0.9380566223543519,-0.5305851223763771
Minimum Volatility,0.27818391797289066,0.407069590435981,0.8372581891185693,-0.5096953365127874
Maximum Sharpe,0.39864558730753674,0.45798442687644153,0.9982997853635244,-0.5562958612796831
