,ZGC,GDS,HTKJ
Current 40/30/30,0.4,0.3,0.3
Equal Weight,0.3333333333333333,0.3333333333333333,0.3333333333333333
Minimum Volatility,0.22800729262278543,0.17199270737721473,0.6
Maximum Sharpe,0.12583377640717233,0.5999999999999999,0.27416622359282783
