,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown
Current 40/30/30,0.771086275314379,1.4041664072106372,0.5546458512862462,1.9023742038702474,-0.3173659169271973
Equal Weight,0.7784457126144186,1.419514857877247,0.5691657463784456,1.8793877324956165,-0.3362710921641605
Minimum Volatility,0.6943977240885157,1.2462681370551532,0.5928195882908495,1.6986751448277448,-0.3600853211974133
Maximum Sharpe,0.8373589960872583,1.543601170358797,0.6664567577487162,1.7707622291765408,-0.4525207402814736
